0,-8,-7.5,-7,-6.5,-6,-5.5,-5,-4.5,-4,-3.5,-3,-2.5,-2,-1.5,-1,-0.5,0,0.5,1
3.75,-0.764,-0.924,-1.115,-1.322,-1.535,-1.746,-1.945,-2.112,-2.216,-2.225,-2.133,-1.963,-1.739,-1.496,-1.179,-0.818,-0.42,0.001,0.36
3.8,-0.556,-0.593,-0.669,-0.789,-0.938,-1.103,-1.266,-1.399,-1.481,-1.484,-1.405,-1.268,-1.075,-0.88,-0.634,-0.368,-0.073,0.279,0.599
3.85,-0.529,-0.523,-0.518,-0.517,-0.535,-0.581,-0.642,-0.699,-0.729,-0.713,-0.647,-0.534,-0.384,-0.222,-0.018,0.205,0.442,0.708,1.005
3.9,-0.531,-0.519,-0.499,-0.462,-0.396,-0.304,-0.203,-0.111,-0.032,0.038,0.115,0.21,0.33,0.453,0.619,0.803,1,1.215,1.447
3.95,-0.532,-0.523,-0.503,-0.464,-0.383,-0.242,-0.032,0.218,0.459,0.653,0.795,0.911,1.017,1.12,1.25,1.397,1.558,1.741,1.944
4,-0.513,-0.515,-0.504,-0.472,-0.395,-0.249,-0.013,0.308,0.671,1.013,1.281,1.471,1.611,1.727,1.84,1.956,2.093,2.246,2.418
4.05,-0.486,-0.483,-0.477,-0.457,-0.397,-0.261,-0.025,0.311,0.715,1.143,1.53,1.838,2.061,2.219,2.344,2.459,2.574,2.702,2.844
4.1,-0.471,-0.465,-0.454,-0.431,-0.378,-0.263,-0.052,0.265,0.669,1.119,1.571,1.984,2.313,2.557,2.733,2.871,2.994,3.115,3.241
4.15,-0.459,-0.445,-0.43,-0.407,-0.356,-0.247,-0.056,0.228,0.602,1.041,1.517,1.989,2.412,2.755,3,3.18,3.329,3.457,3.581
4.2,-0.465,-0.447,-0.424,-0.393,-0.341,-0.241,-0.063,0.206,0.559,0.977,1.444,1.939,2.416,2.839,3.178,3.426,3.605,3.756,3.888
4.25,-0.464,-0.449,-0.425,-0.389,-0.33,-0.226,-0.058,0.191,0.529,0.936,1.392,1.875,2.374,2.852,3.271,3.593,3.83,4.02,4.178
4.3,-0.452,-0.44,-0.419,-0.386,-0.332,-0.232,-0.063,0.18,0.504,0.909,1.369,1.853,2.348,2.852,3.318,3.711,4.011,4.251,4.437
4.35,-0.438,-0.424,-0.403,-0.369,-0.316,-0.225,-0.07,0.17,0.501,0.913,1.373,1.862,2.367,2.866,3.356,3.801,4.164,4.455,4.673
4.4,-0.414,-0.402,-0.38,-0.344,-0.288,-0.201,-0.059,0.165,0.493,0.908,1.375,1.879,2.4,2.911,3.418,3.887,4.294,4.63,4.878
4.45,-0.405,-0.386,-0.359,-0.316,-0.247,-0.148,-0.002,0.22,0.537,0.951,1.424,1.929,2.453,2.975,3.496,3.986,4.42,4.774,5.059
4.5,-0.398,-0.382,-0.355,-0.306,-0.223,-0.101,0.062,0.283,0.589,0.99,1.462,1.976,2.509,3.049,3.579,4.082,4.536,4.91,5.209
4.55,-0.391,-0.371,-0.345,-0.301,-0.218,-0.08,0.117,0.373,0.698,1.091,1.549,2.056,2.581,3.12,3.658,4.17,4.629,5.013,5.317
4.6,-0.395,-0.375,-0.345,-0.297,-0.214,-0.073,0.142,0.438,0.795,1.199,1.651,2.138,2.647,3.176,3.715,4.23,4.688,5.07,5.366
4.65,-0.39,-0.373,-0.347,-0.302,-0.22,-0.076,0.146,0.457,0.851,1.291,1.752,2.23,2.719,3.227,3.75,4.25,4.696,5.068,5.352
4.7,-0.388,-0.368,-0.342,-0.302,-0.23,-0.094,0.125,0.437,0.833,1.291,1.779,2.273,2.759,3.25,3.749,4.227,4.654,5.013,5.287
4.75,-0.389,-0.366,-0.336,-0.301,-0.233,-0.112,0.094,0.399,0.79,1.246,1.738,2.248,2.748,3.238,3.719,4.173,4.582,4.929,5.199
4.8,-0.388,-0.366,-0.339,-0.3,-0.233,-0.116,0.079,0.37,0.746,1.186,1.668,2.176,2.693,3.196,3.669,4.109,4.504,4.841,5.105
4.85,-0.389,-0.369,-0.341,-0.3,-0.236,-0.124,0.065,0.347,0.708,1.132,1.603,2.106,2.624,3.135,3.614,4.05,4.438,4.765,5.019
4.9,-0.377,-0.359,-0.333,-0.293,-0.228,-0.118,0.061,0.33,0.682,1.093,1.553,2.053,2.571,3.084,3.568,4.006,4.39,4.705,4.943
4.95,-0.349,-0.332,-0.308,-0.273,-0.213,-0.108,0.067,0.329,0.675,1.083,1.534,2.024,2.535,3.045,3.532,3.973,4.354,4.653,4.872
5,-0.295,-0.285,-0.267,-0.235,-0.18,-0.084,0.079,0.334,0.678,1.085,1.53,2.011,2.518,3.022,3.509,3.949,4.32,4.599,4.796
